date,open,high,low,close,adj_close,volume,daily_return,sma20,sma50,volatility20,cumulative_return
2026-01-02,272.260009765625,277.8399963378906,269.0,271.010009765625,270.75665283203125,37838100,,,,,0.0
2026-01-05,270.6400146484375,271.510009765625,266.1400146484375,267.260009765625,267.0101623535156,45647200,-0.013837127282653072,,,,-0.013837127282653072
2026-01-06,267.0,267.54998779296875,262.1199951171875,262.3599853515625,262.1147155761719,52352100,-0.01833429707033085,,,,-0.031917730350783824
2026-01-07,263.20001220703125,263.67999267578125,259.80999755859375,260.3299865722656,260.08660888671875,48309800,-0.007737455757884204,,,,-0.039408224082186805
2026-01-08,257.0199890136719,259.2900085449219,255.6999969482422,259.0400085449219,258.7978515625,50419300,-0.004955164959399183,,,,-0.044168114790501756
2026-01-09,259.0799865722656,260.2099914550781,256.2200012207031,259.3699951171875,259.1275329589844,39997000,0.00127388264893602,,,,-0.04295049713663357
2026-01-12,259.1600036621094,261.29998779296875,256.79998779296875,260.25,260.0067138671875,45263800,0.0033928553779511983,,,,-0.039703366583878075
2026-01-13,258.7200012207031,261.80999755859375,258.3900146484375,261.04998779296875,260.8059387207031,45730800,0.003073920434077726,,,,-0.036751491139644266
2026-01-14,259.489990234375,261.82000732421875,256.7099914550781,259.9599914550781,259.71697998046875,40019400,-0.004175431483854575,,,,-0.04077346929031578
2026-01-15,260.6499938964844,261.0400085449219,257.04998779296875,258.2099914550781,257.9685974121094,39388600,-0.006731805114335909,,,,-0.04723079535555397
2026-01-16,257.8999938964844,258.8999938964844,254.92999267578125,255.52999877929688,255.29112243652344,72142800,-0.010379120733008063,,,,-0.05711970196125071
2026-01-20,252.72999572753906,254.7899932861328,243.4199981689453,246.6999969482422,246.46937561035156,80267500,-0.03455563680678142,,,,-0.08970153109254753
2026-01-21,248.6999969482422,251.55999755859375,245.17999267578125,247.64999389648438,247.41848754882812,54641700,0.0038508186461043703,,,,-0.08619613677495841
2026-01-22,249.1999969482422,251.0,248.14999389648438,248.35000610351562,248.1178436279297,39708300,0.002826619116832463,,,,-0.08361316130613117
2026-01-23,247.32000732421875,249.41000366210938,244.67999267578125,248.0399932861328,247.80812072753906,41689000,-0.0012482899527435087,,,,-0.0847570777896991
2026-01-26,251.47999572753906,256.55999755859375,249.8000030517578,255.41000366210938,255.17123413085938,55969200,0.02971299216040002,,,,-0.05756247201720277
2026-01-27,259.1700134277344,261.95001220703125,258.2099914550781,258.2699890136719,258.0285339355469,49648300,0.01119762464490659,,,,-0.04700941032757777
2026-01-28,257.6499938964844,258.8599853515625,254.50999450683594,256.44000244140625,256.2002868652344,41288000,-0.007085556394896275,,,,-0.05376187889450712
2026-01-29,258.0,259.6499938964844,254.41000366210938,258.2799987792969,258.0385437011719,67253000,0.007175153331668849,,,,-0.04697247528730497
2026-01-30,255.1699981689453,261.8999938964844,252.17999267578125,259.4800109863281,259.2374267578125,92443400,0.004646167774132071,257.64949798583984,,,-0.04254454951412401
2026-02-02,260.0299987792969,270.489990234375,259.2099914550781,270.010009765625,269.7575988769531,73913400,0.04058115590203082,257.59949798583983,,0.25236374175256854,-0.0036899006087075525
2026-02-03,269.20001220703125,271.8800048828125,267.6099853515625,269.4800109863281,269.22808837890625,64394700,-0.0019628856713753695,257.710498046875,,0.2472371776146671,-0.00564554342704926
2026-02-04,272.2900085449219,278.95001220703125,272.2900085449219,276.489990234375,276.23150634765625,90545700,0.026012984125945104,258.4169982910156,,0.2524223457941003,0.02022058326734566
2026-02-05,278.1300048828125,279.5,273.2300109863281,275.9100036621094,275.6520690917969,52977400,-0.0020976765624461935,259.1959991455078,,0.25009900445017175,0.018080490461300558
2026-02-06,277.1199951171875,280.9100036621094,276.92999267578125,278.1199951171875,277.8599853515625,50453400,0.008009827210848641,260.1499984741211,,0.248841451582219,0.02623513927663157
2026-02-09,277.9100036621094,278.20001220703125,271.70001220703125,274.6199951171875,274.6199951171875,44623400,-0.01258449612198953,260.9124984741211,,0.25539177580640865,0.013320487146155413
2026-02-10,274.8900146484375,275.3699951171875,272.94000244140625,273.67999267578125,273.67999267578125,34376900,-0.003422920610733904,261.58399810791013,,0.25639068198604903,0.009851971565423945
2026-02-11,274.70001220703125,280.17999267578125,274.45001220703125,275.5,275.5,51931300,0.0066501292492171515,262.3064987182617,,0.25678450852079887,0.016567617698910686
2026-02-12,275.5899963378906,275.7200012207031,260.17999267578125,261.7300109863281,261.7300109863281,81077200,-0.049981811301894274,262.3949996948242,,0.3176115174570356,-0.03424227314453243
2026-02-13,262.010009765625,262.2300109863281,255.4499969482422,255.77999877929688,255.77999877929688,56290700,-0.022733396848946263,262.2735000610352,,0.32739268336084293,-0.05619722680907402
2026-02-17,258.04998779296875,266.2900085449219,255.5399932861328,263.8800048828125,263.8800048828125,58469100,0.031667863563111576,262.6910003662109,,0.34378227101681896,-0.026309009357177393
2026-02-18,263.6000061035156,266.82000732421875,262.45001220703125,264.3500061035156,264.3500061035156,34203300,0.0017811172199722058,263.5735008239746,,0.3158299532254845,-0.02457475156681166
2026-02-19,262.6000061035156,264.4800109863281,260.04998779296875,260.5799865722656,260.5799865722656,30845300,-0.014261469431454121,264.22000045776366,,0.32215750539732013,-0.03848574893001011
2026-02-20,258.9700012207031,264.75,258.1600036621094,264.5799865722656,264.5799865722656,42070500,0.015350373037534393,265.0314994812012,,0.325252352309393,-0.023726146495180234
2026-02-23,263.489990234375,269.42999267578125,263.3800048828125,266.17999267578125,266.17999267578125,37308200,0.006047343656806037,265.9384994506836,,0.32490908971294336,-0.01782228299988231
2026-02-24,267.8599853515625,274.8900146484375,267.7099914550781,272.1400146484375,272.1400146484375,47014600,0.022390946489790453,266.775,,0.3181129232084487,0.004169605704931856
2026-02-25,271.7799987792969,274.94000244140625,271.04998779296875,274.2300109863281,274.2300109863281,33714300,0.007679856784716499,267.5730010986328,,0.3172085110380448,0.01188148446431092
2026-02-26,274.95001220703125,276.1099853515625,270.79998779296875,272.95001220703125,272.95001220703125,32345100,-0.004667610137537803,268.39850158691405,,0.31628410930794953,0.007158416189438466
2026-02-27,272.80999755859375,272.80999755859375,262.8900146484375,264.17999267578125,264.17999267578125,72366500,-0.03213049693728531,268.6935012817383,,0.33981770389424026,-0.025202084217297416
2026-03-02,262.4100036621094,266.5299987792969,260.20001220703125,264.7200012207031,264.7200012207031,41827900,0.002044093269336189,268.955500793457,,0.33960828127358306,-0.02320950635868302
2026-03-03,263.4800109863281,265.55999755859375,260.1300048828125,263.75,263.75,38568900,-0.0036642536122324376,268.64250030517576,,0.3062707092890082,-0.026788714453402473
2026-03-04,264.6499938964844,266.1499938964844,261.4200134277344,262.5199890136719,262.5199890136719,39803100,-0.004663548763329417,268.294499206543,,0.3065339835502596,-0.031327332740571534
2026-03-05,260.7900085449219,261.55999755859375,257.25,260.2900085449219,260.2900085449219,49658600,-0.00849451684471103,267.4845001220703,,0.2900387340559085,-0.03955573902961795
2026-03-06,258.6300048828125,258.7699890136719,254.3699951171875,257.4599914550781,257.4599914550781,41120000,-0.010872553678353492,266.56199951171874,,0.29140452069454914,-0.04999822081208494
2026-03-09,255.69000244140625,261.1499938964844,253.67999267578125,259.8800048828125,259.8800048828125,38218500,0.009399570838394267,265.65,,0.2921602268118965,-0.04106861179200749
2026-03-10,257.6499938964844,262.4800109863281,256.95001220703125,260.8299865722656,260.8299865722656,30590800,0.0036554627966916,264.9604995727539,,0.29094328571413913,-0.037563273777833306
2026-03-11,261.0899963378906,262.1300048828125,259.54998779296875,260.80999755859375,260.80999755859375,26218900,-7.663617950748325e-05,264.3169998168945,,0.2910314220459841,-0.037637031251548714
2026-03-12,258.6600036621094,258.95001220703125,254.17999267578125,255.75999450683594,255.75999450683594,40794000,-0.019362766377938656,263.32999954223635,,0.2951070533773398,-0.05627104058620447
2026-03-13,255.47999572753906,256.3299865722656,249.52000427246094,250.1199951171875,250.1199951171875,36930000,-0.022051921765652405,262.7494987487793,,0.25002583051660066,-0.07708207776717801
2026-03-16,252.11000061035156,253.88999938964844,249.8800048828125,252.82000732421875,252.82000732421875,32074200,0.01079486750256109,262.6014991760254,262.3267990112305,0.2415967347668235,-0.06711930108093567
2026-03-17,252.9600067138672,255.1300048828125,252.17999267578125,254.22999572753906,254.22999572753906,32361600,0.005577044389181385,262.1189987182617,261.99119873046874,0.2114299041656747,-0.061916584013253506
2026-03-18,252.6300048828125,254.94000244140625,249.0,249.94000244140625,249.94000244140625,35757900,-0.016874457610149385,261.39849853515625,261.64479858398437,0.2175485557575519,-0.07774623285110605
2026-03-19,249.39999389648438,251.8300018310547,247.3000030517578,248.9600067138672,248.9600067138672,34864100,-0.0039209238936004365,260.8174995422363,261.37679901123045,0.21332102389634086,-0.08136231968268315
2026-03-20,247.97999572753906,249.1999969482422,246.0,247.99000549316406,247.99000549316406,88331100,-0.003896213024359163,259.9880004882813,261.12999938964845,0.203020162839699,-0.0849415277774026
2026-03-23,253.97000122070312,254.60000610351562,250.27999877929688,251.49000549316406,251.49000549316406,40546100,0.01411347200480817,259.2535011291504,260.97899932861327,0.20977561190572855,-0.07202687564692645
2026-03-24,250.35000610351562,254.8300018310547,249.5500030517578,251.63999938964844,251.63999938964844,45152300,0.0005964209042432778,258.22850036621094,260.8243994140625,0.18829639505285356,-0.07147341307698629
2026-03-25,254.10000610351562,255.0,251.60000610351562,252.6199951171875,252.6199951171875,28476700,0.00389443542328749,257.1479995727539,260.67179931640624,0.18568591901554307,-0.06785732624540908
2026-03-26,252.1199951171875,257.0,250.77000427246094,252.88999938964844,252.88999938964844,41796700,0.0010688159198788405,256.14499893188474,260.5085995483398,0.18653917760146949,-0.06686103731610171
2026-03-27,253.89999389648438,255.49000549316406,248.07000732421875,248.8000030517578,248.8000030517578,47900000,-0.016173025219509918,255.3759994506836,260.28539978027345,0.1612116627082053,-0.08195271729289577
2026-03-30,250.07000732421875,250.8699951171875,245.50999450683594,246.6300048828125,246.6300048828125,39446200,-0.008721857485242457,254.47149963378905,260.0538000488281,0.16132181173029853,-0.08995979485738126
2026-03-31,247.91000366210938,255.47999572753906,247.10000610351562,253.7899932861328,253.7899932861328,49598100,0.029031294901536553,253.9734992980957,260.01899993896484,0.19833673091016618,-0.06354014928963103
2026-04-01,254.0800018310547,256.17999267578125,253.3300018310547,255.6300048828125,255.6300048828125,40059400,0.007250134541771258,253.62900009155274,260.1976000976563,0.20058996177124455,-0.05675068937901384
2026-04-02,254.1999969482422,256.1300048828125,250.64999389648438,255.9199981689453,255.9199981689453,31289400,0.0011344258521832629,253.4104995727539,260.36300018310544,0.19888432067142467,-0.0556806429759914
2026-04-06,256.510009765625,262.1600036621094,256.4599914550781,258.8599853515625,258.8599853515625,29329900,0.011487914987700076,253.48049926757812,260.5731997680664,0.19965880208208206,-0.04483238248125998
2026-04-07,256.1600036621094,256.20001220703125,245.6999969482422,253.5,253.5,62148000,-0.020706117804507373,253.1614990234375,260.6823999023438,0.20988997638590484,-0.0646101956926537
2026-04-08,258.45001220703125,259.75,256.5299987792969,258.8999938964844,258.8999938964844,41032800,0.02130175107094434,253.06499938964845,260.75219970703125,0.22412258494294454,-0.044684754926999304
2026-04-09,259.0,261.1199951171875,256.07000732421875,260.489990234375,260.489990234375,28121600,0.006141353323192211,253.0489990234375,260.7965997314453,0.2252800146674706,-0.03881782647197407
2026-04-10,259.9800109863281,262.19000244140625,259.0199890136719,260.4800109863281,260.4800109863281,31291500,-3.8309525974056235e-05,253.2849998474121,260.87739990234377,0.21333853595603608,-0.03885464890541668
2026-04-13,259.7300109863281,260.17999267578125,256.6600036621094,259.20001220703125,259.20001220703125,36234700,-0.004914000020385667,253.7390007019043,260.89580017089844,0.1968103379790646,-0.04357771718028902
2026-04-14,259.25,261.92999267578125,257.19000244140625,258.8299865722656,258.8299865722656,48370700,-0.001427567968129817,254.03949966430665,260.8827996826172,0.19421356712085247,-0.04494307499524808
2026-04-15,258.1600036621094,266.55999755859375,257.80999755859375,266.42999267578125,266.42999267578125,49913500,0.029362927395561567,254.64949951171874,260.81119934082034,0.21812868901806629,-0.016899807847705284
2026-04-16,266.79998779296875,267.1600036621094,261.2699890136719,263.3999938964844,263.3999938964844,43323100,-0.011372588907376024,255.32249908447267,260.6895989990234,0.2124696500374104,-0.028080202187815706
2026-04-17,266.9599914550781,272.29998779296875,266.7200012207031,270.2300109863281,270.2300109863281,61436200,0.025930209749845057,256.3859992980957,260.5643994140625,0.22609724688636743,-0.0028781179705187343
2026-04-20,270.3299865722656,274.2799987792969,270.2900085449219,273.04998779296875,273.04998779296875,36590200,0.010435468645202839,257.6389984130859,260.5071990966797,0.22500855812223394,0.007527316164845477
